cohortDefinitionId,analysisId,conceptId,name,n,pct,timeWindow,database
1,202,373470,Toxic polyneuropathy,8,0.00198363501115794,365_0,synpuf
1,202,201254,Type 1 diabetes mellitus,472,0.11703446565831888,365_0,synpuf
1,202,434920,Hypochondriasis,1,2.479543763947434e-4,365_0,synpuf
1,202,80175,"Arthropathy associated with mycoses, of the shoulder region",1,2.479543763947434e-4,365_0,synpuf
1,202,440957,Lymphosarcoma and reticulosarcoma,6,0.00148772625836846,365_0,synpuf
1,202,30770,Chronic peptic ulcer with hemorrhage but without obstruction,10,0.00247954376394743,365_0,synpuf
1,202,436083,Protein-deficiency anemia,41,0.01016612943218447,365_0,synpuf
1,202,194083,Vaginitis and vulvovaginitis,73,0.01810066947681626,365_0,synpuf
1,202,440990,Chorea,3,7.438631291842301e-4,365_0,synpuf
1,202,254387,Upper respiratory tract hypersensitivity reaction,7,0.0017356806347632,365_0,synpuf
1,202,378764,Vertical heterophoria,1,2.479543763947434e-4,365_0,synpuf
1,202,436988,Enophthalmos due to orbital tissue atrophy,2,4.959087527894868e-4,365_0,synpuf
1,202,4159739,Arthritis of knee,6,0.00148772625836846,365_0,synpuf
1,202,4117393,Knee joint ankylosis,6,0.00148772625836846,365_0,synpuf
1,202,377091,Seizure,366,0.09075130176047608,365_0,synpuf
1,202,377545,Episodic tension-type headache,9,0.00223158938755269,365_0,synpuf
1,202,321886,Rupture of artery,14,0.0034713612695264,365_0,synpuf
1,202,438141,Senile reticular retinal degeneration,8,0.00198363501115794,365_0,synpuf
1,202,4342875,Congenital malformation of pancreas,2,4.959087527894868e-4,365_0,synpuf
1,202,436702,Pseudopapilledema,1,2.479543763947434e-4,365_0,synpuf
1,202,381557,profound impairment,1,2.479543763947434e-4,365_0,synpuf
1,202,194151,Congenital anomaly of stomach,1,2.479543763947434e-4,365_0,synpuf
1,202,377561,Alternating exotropia,2,4.959087527894868e-4,365_0,synpuf
1,202,40481345,Monoplegia of upper limb of dominant side,4,9.918175055789735e-4,365_0,synpuf
1,202,140362,Hypoparathyroidism,9,0.00223158938755269,365_0,synpuf
1,202,440075,"Recurrent major depressive episodes, in full remission",55,0.01363749070171088,365_0,synpuf
1,202,260134,Croup,16,0.00396727002231589,365_0,synpuf
1,202,441044,Atheromatous embolus of lower limb,1,2.479543763947434e-4,365_0,synpuf
1,202,380094,Carpal tunnel syndrome,141,0.03496156707165882,365_0,synpuf
1,202,440108,Thyrotoxic exophthalmos,3,7.438631291842301e-4,365_0,synpuf
1,202,374142,Congenital anomaly of nervous system,1,2.479543763947434e-4,365_0,synpuf
1,202,374039,near-total impairment,1,2.479543763947434e-4,365_0,synpuf
1,202,81156,Closed inferior dislocation of humerus,3,7.438631291842301e-4,365_0,synpuf
1,202,23245,Esophageal bleeding,15,0.00371931564592115,365_0,synpuf
1,202,434462,Ventricular septal defect,3,7.438631291842301e-4,365_0,synpuf
1,202,4002975,Tuberculosis of the pelvic and/or thigh bones,1,2.479543763947434e-4,365_0,synpuf
1,202,4317685,Neoplasm of uncertain behavior of respiratory tract,20,0.00495908752789486,365_0,synpuf
1,202,194175,Left upper quadrant pain,97,0.0240515745102901,365_0,synpuf
1,202,4149840,Nodular lymphoma,7,0.0017356806347632,365_0,synpuf
1,202,4201387,Tracheostomy present,18,0.00446317877510538,365_0,synpuf
1,202,378757,Hypotrichosis of eyelid,2,4.959087527894868e-4,365_0,synpuf
1,202,436079,Drug-induced mood disorder,7,0.0017356806347632,365_0,synpuf
1,202,432881,Pancytopenia,86,0.02132407636994793,365_0,synpuf
1,202,4294302,T-lymphocyte immunodeficiency,7,0.0017356806347632,365_0,synpuf
1,202,376337,Disorder of nervous system,4,9.918175055789735e-4,365_0,synpuf
1,202,72401,Kashin-Bek disease,27,0.00669476816265807,365_0,synpuf
1,202,73855,Arrest of bone development AND/OR growth,26,0.00644681378626332,365_0,synpuf
1,202,441582,Anterior scleritis,1,2.479543763947434e-4,365_0,synpuf
1,202,443778,Diphtheritic myocarditis,3,7.438631291842301e-4,365_0,synpuf
1,202,440092,Non-24 hour sleep-wake cycle,4,9.918175055789735e-4,365_0,synpuf
1,202,74127,Contracture of elbow joint,3,7.438631291842301e-4,365_0,synpuf
1,202,198189,Purulent peritonitis,4,9.918175055789735e-4,365_0,synpuf
1,202,432600,Stress reaction causing mixed disturbance of emotion and conduct,8,0.00198363501115794,365_0,synpuf
1,202,436833,Open fracture of metacarpal bone,1,2.479543763947434e-4,365_0,synpuf
1,202,444440,Burkitt's tumor of spleen,3,7.438631291842301e-4,365_0,synpuf
1,202,444200,Neoplasm of nervous system,9,0.00223158938755269,365_0,synpuf
1,202,432294,Iatrogenic carnitine deficiency,4,9.918175055789735e-4,365_0,synpuf
1,202,444211,Disorder of thigh,10,0.00247954376394743,365_0,synpuf
1,202,435663,Open fracture of C5-C7 level with spinal cord injury,1,2.479543763947434e-4,365_0,synpuf
1,202,193814,Chronic parametritis and pelvic cellulitis,4,9.918175055789735e-4,365_0,synpuf
1,202,72720,Nonallopathic lesion of upper extremities,37,0.0091743119266055,365_0,synpuf
1,202,375355,Corneal size and shape anomalies,3,7.438631291842301e-4,365_0,synpuf
1,202,133299,Swelling of limb,285,0.07066699727250186,365_0,synpuf
1,202,134597,Chronic leukemia in remission,3,7.438631291842301e-4,365_0,synpuf
1,202,374835,Anoxic brain damage during AND/OR resulting from a procedure,8,0.00198363501115794,365_0,synpuf
1,202,372913,not specified,3,7.438631291842301e-4,365_0,synpuf
1,202,4347554,Viral hemorrhagic fever,2,4.959087527894868e-4,365_0,synpuf
1,202,40483286,Critical illness myopathy,8,0.00198363501115794,365_0,synpuf
1,202,374950,Edema of eyelid,2,4.959087527894868e-4,365_0,synpuf
1,202,78504,"Arthropathy associated with mycoses, of the hand",1,2.479543763947434e-4,365_0,synpuf
1,202,196214,Congenital disorder of gallbladder and biliary tract,2,4.959087527894868e-4,365_0,synpuf
1,202,140214,Eruption,130,0.03223406893131664,365_0,synpuf
1,202,437390,Hypoxemia,217,0.05380609967765931,365_0,synpuf
1,202,201218,Epidemic vomiting syndrome,1,2.479543763947434e-4,365_0,synpuf
1,202,74396,Temporomandibular joint disorder,12,0.00297545251673692,365_0,synpuf
1,202,81930,Transient arthropathy,15,0.00371931564592115,365_0,synpuf
1,202,315295,Congestive rheumatic heart failure,67,0.0166129432184478,365_0,synpuf
1,202,141404,Abnormal dermatoglyphic pattern,1,2.479543763947434e-4,365_0,synpuf
1,202,77923,Eosinophilic colitis,42,0.01041408380857922,365_0,synpuf
1,202,439349,Cystitis associated with another disorder,41,0.01016612943218447,365_0,synpuf
1,202,139906,Intervertebral disc disorder of cervical region with myelopathy,45,0.01115794693776345,365_0,synpuf
1,202,4302047,Allergy to anesthetic,2,4.959087527894868e-4,365_0,synpuf
1,202,440603,Blood transfusion reaction,4,9.918175055789735e-4,365_0,synpuf
1,202,438106,"Reticulosarcoma of lymph nodes of head, face and neck",1,2.479543763947434e-4,365_0,synpuf
1,202,373461,Leukocoria,2,4.959087527894868e-4,365_0,synpuf
1,202,73584,Indeterminate sex and pseudohermaphroditism,1,2.479543763947434e-4,365_0,synpuf
1,202,380650,Epidemic hemorrhagic conjunctivitis,2,4.959087527894868e-4,365_0,synpuf
1,202,435231,Nondependent cannabis abuse in remission,2,4.959087527894868e-4,365_0,synpuf
1,202,259824,Round window fistula,10,0.00247954376394743,365_0,synpuf
1,202,201618,Disorder of intestine,55,0.01363749070171088,365_0,synpuf
1,202,201083,Fetal AND/OR placental disorder affecting management of mother,1,2.479543763947434e-4,365_0,synpuf
1,202,443431,Disorder of menstruation,18,0.00446317877510538,365_0,synpuf
1,202,43530641,Primary thunderclap headache,10,0.00247954376394743,365_0,synpuf
1,202,138996,Carcinoma in situ of skin,43,0.01066203818497396,365_0,synpuf
1,202,40480938,Monoplegia of lower limb as late effect of cerebrovascular disease,4,9.918175055789735e-4,365_0,synpuf
1,202,193264,Placenta previa with hemorrhage - delivered,1,2.479543763947434e-4,365_0,synpuf
1,202,140364,Disorder of thyrocalcitonin secretion,21,0.00520704190428961,365_0,synpuf
1,202,80879,Open wound of upper arm with tendon involvement,1,2.479543763947434e-4,365_0,synpuf
1,202,4009776,Mechanical strabismus due to musculofascial disorder,1,2.479543763947434e-4,365_0,synpuf
1,202,4135964,Retained nonmagnetic intraocular foreign body,2,4.959087527894868e-4,365_0,synpuf
1,202,441267,Cystic fibrosis,1,2.479543763947434e-4,365_0,synpuf
1,202,194983,Chronic peritoneal effusion,10,0.00247954376394743,365_0,synpuf
1,202,376918,Primary malignant neoplasm of nervous system,3,7.438631291842301e-4,365_0,synpuf
1,202,4094863,Malignant tumor of Meckel's diverticulum,4,9.918175055789735e-4,365_0,synpuf
1,202,77631,"Localized, secondary osteoarthritis of the shoulder region",31,0.00768658566823704,365_0,synpuf
1,202,438740,Peripheral focal retinitis AND retinochoroiditis,5,0.00123977188197371,365_0,synpuf
1,202,194981,Bilateral femoral hernia without obstruction AND without gangrene,9,0.00223158938755269,365_0,synpuf
1,202,381001,Subjective visual disturbance,11,0.00272749814034217,365_0,synpuf
1,202,81659,Traumatic arthropathy of the pelvic region and thigh,3,7.438631291842301e-4,365_0,synpuf
1,202,133586,Bilateral incomplete cleft palate with cleft lip,1,2.479543763947434e-4,365_0,synpuf
1,202,192298,Hypersplenism,2,4.959087527894868e-4,365_0,synpuf
1,202,443738,Sickle cell-thalassemia disease with crisis,6,0.00148772625836846,365_0,synpuf
1,202,195585,Crohn's disease of small intestine,10,0.00247954376394743,365_0,synpuf
1,202,74080,Orthostatic proteinuria,12,0.00297545251673692,365_0,synpuf
1,202,22839,Overlapping malignant neoplasm of larynx,3,7.438631291842301e-4,365_0,synpuf
1,202,26069,Postablative testicular hypofunction,3,7.438631291842301e-4,365_0,synpuf
1,202,438469,"Duodenal ulcer without hemorrhage, without perforation AND without obstruction",15,0.00371931564592115,365_0,synpuf
1,202,141648,Contact dermatitis due to cosmetics,5,0.00123977188197371,365_0,synpuf
1,202,4147466,Panic disorder with agoraphobia,33,0.00818249442102653,365_0,synpuf
1,202,432347,Chronic disease of tonsils AND/OR adenoids,1,2.479543763947434e-4,365_0,synpuf
1,202,437191,Antibacterial drug adverse reaction,1,2.479543763947434e-4,365_0,synpuf
1,202,318549,Cardiac septal defects,2,4.959087527894868e-4,365_0,synpuf
1,202,314754,Wheezing,117,0.02901066203818497,365_0,synpuf
1,202,76786,Derangement of knee,9,0.00223158938755269,365_0,synpuf
1,202,136949,Refractory anemia with excess blasts,18,0.00446317877510538,365_0,synpuf
1,202,4116351,Carcinoma in situ of ear,32,0.00793454004463178,365_0,synpuf
1,202,200766,Ureteric fistula,16,0.00396727002231589,365_0,synpuf
1,202,76725,Anal fissure,11,0.00272749814034217,365_0,synpuf
1,202,77115,Multiple open fractures of pelvis with disruption of pelvic circle,4,9.918175055789735e-4,365_0,synpuf
1,202,140966,Benign neoplasm of skin of face,54,0.01338953632531614,365_0,synpuf
1,202,441593,Arteriovenous fistula of pulmonary vessels,14,0.0034713612695264,365_0,synpuf
1,202,78230,Rheumatoid arthritis with organ / system involvement,36,0.00892635755021076,365_0,synpuf
1,202,74250,Burn of foot,1,2.479543763947434e-4,365_0,synpuf
1,202,432598,Subchronic schizophrenia with acute exacerbations,7,0.0017356806347632,365_0,synpuf
1,202,440382,Learning difficulties,1,2.479543763947434e-4,365_0,synpuf
1,202,320347,Nodular lymphoma of lymph nodes of multiple sites,7,0.0017356806347632,365_0,synpuf
1,202,436003,Persistent postoperative fistula,4,9.918175055789735e-4,365_0,synpuf
1,202,137626,Seborrheic dermatitis of scalp,5,0.00123977188197371,365_0,synpuf
1,202,4050999,Shoulder-hand syndrome,9,0.00223158938755269,365_0,synpuf
1,202,192680,Portal hypertension,26,0.00644681378626332,365_0,synpuf
1,202,444219,Osteitis deformans without bone tumor,32,0.00793454004463178,365_0,synpuf
1,202,201353,Irradiation cystitis,49,0.01214976444334242,365_0,synpuf
1,202,4184875,Amputated at shoulder,15,0.00371931564592115,365_0,synpuf
1,202,442095,Leukemic reticuloendotheliosis of intrathoracic lymph nodes,1,2.479543763947434e-4,365_0,synpuf
1,202,193793,Aneurysm of visceral artery,8,0.00198363501115794,365_0,synpuf
1,202,4145002,Pathological dislocation of the pelvic region and thigh,7,0.0017356806347632,365_0,synpuf
1,202,440551,Brain injury with open intracranial wound AND loss of consciousness,1,2.479543763947434e-4,365_0,synpuf
1,202,253234,Upper respiratory inflammation due to fumes AND/OR vapors,1,2.479543763947434e-4,365_0,synpuf
1,202,440690,Social phobia,15,0.00371931564592115,365_0,synpuf
1,202,77392,Open fracture of eight OR more ribs,3,7.438631291842301e-4,365_0,synpuf
1,202,4038495,Delivery finding,3,7.438631291842301e-4,365_0,synpuf
1,202,75898,Loose joint body in multiple joints,6,0.00148772625836846,365_0,synpuf
1,202,432966,Hypertrophy of vulva,2,4.959087527894868e-4,365_0,synpuf
1,202,81454,Injury of finger,13,0.00322340689313166,365_0,synpuf
1,202,195556,Hypertensive heart AND renal disease,28,0.00694272253905281,365_0,synpuf
1,202,134305,Acute lymphoid leukemia,8,0.00198363501115794,365_0,synpuf
1,202,193708,Infection by Dracunculus medinensis,1,2.479543763947434e-4,365_0,synpuf
1,202,4064178,Fetus with drug damage with antenatal problem,1,2.479543763947434e-4,365_0,synpuf
1,202,437276,Glaucoma due to chamber angle anomaly,12,0.00297545251673692,365_0,synpuf
1,202,140823,Acquired musculoskeletal deformity,5,0.00123977188197371,365_0,synpuf
1,202,40481757,Flaccid hemiplegia of dominant side,4,9.918175055789735e-4,365_0,synpuf
1,202,434303,Benign neoplasm of rectum and anal canal,47,0.01165385569055293,365_0,synpuf
1,202,378140,Inflammatory and toxic neuropathy,19,0.00471113315150012,365_0,synpuf
1,202,4288676,Acute and chronic cholecystitis,12,0.00297545251673692,365_0,synpuf
1,202,376990,Tympanosclerosis involving tympanic membrane only,2,4.959087527894868e-4,365_0,synpuf
1,202,437269,Intermittent angle-closure glaucoma,10,0.00247954376394743,365_0,synpuf
1,202,76685,Myasthenia gravis,30,0.0074386312918423,365_0,synpuf
1,202,199752,Secondary malignant neoplasm of ovary,7,0.0017356806347632,365_0,synpuf
1,202,373105,Disorders of prostheses and implants of the nervous system,5,0.00123977188197371,365_0,synpuf
1,202,312938,Hypertensive encephalopathy,13,0.00322340689313166,365_0,synpuf
1,202,4096598,Tetracyclic antidepressant drug poisoning,2,4.959087527894868e-4,365_0,synpuf
1,202,22856,Polyglandular dysfunction,5,0.00123977188197371,365_0,synpuf
1,202,434402,Acute duodenal ulcer with hemorrhage but without obstruction,13,0.00322340689313166,365_0,synpuf
1,202,441579,Acute myocardial infarction of inferoposterior wall,13,0.00322340689313166,365_0,synpuf
1,202,75054,Periostitis of shoulder region,1,2.479543763947434e-4,365_0,synpuf
1,202,198199,Pyelonephritis,61,0.01512521696007934,365_0,synpuf
1,202,4045976,Herpes zoster encephalitis,2,4.959087527894868e-4,365_0,synpuf
1,202,4302954,Disorder characterized by eosinophilia,11,0.00272749814034217,365_0,synpuf
1,202,441062,Acute duodenal ulcer with hemorrhage AND obstruction,11,0.00272749814034217,365_0,synpuf
1,202,77079,Spinal stenosis,132,0.03272997768410612,365_0,synpuf
1,202,196464,Rapidly progressive glomerulonephritis,1,2.479543763947434e-4,365_0,synpuf
1,202,200765,Chronic cholecystitis,16,0.00396727002231589,365_0,synpuf
1,202,376434,Oval window fistula,16,0.00396727002231589,365_0,synpuf
1,202,4184709,Finding of finger joint,13,0.00322340689313166,365_0,synpuf
1,202,252280,Neoplasm of respiratory tract,15,0.00371931564592115,365_0,synpuf
1,202,76789,Villonodular synovitis of the ankle and foot,10,0.00247954376394743,365_0,synpuf
1,202,435506,Benign neoplastic disease,16,0.00396727002231589,365_0,synpuf
1,202,192606,Paraplegia,49,0.01214976444334242,365_0,synpuf
1,202,436253,Sprain of foot,21,0.00520704190428961,365_0,synpuf
1,202,440828,Renal pelvis and ureter obstructive defects,2,4.959087527894868e-4,365_0,synpuf
1,202,196620,Viral enteritis,2,4.959087527894868e-4,365_0,synpuf
1,202,194519,Open wound of vagina without complication,2,4.959087527894868e-4,365_0,synpuf
1,202,78838,Acquired deformity of knee,4,9.918175055789735e-4,365_0,synpuf
1,202,134331,Cauda equina syndrome without neurogenic bladder,5,0.00123977188197371,365_0,synpuf
1,202,377368,Anencephalus,2,4.959087527894868e-4,365_0,synpuf
1,202,376125,Disorder of eyelid,7,0.0017356806347632,365_0,synpuf
1,202,433527,Endometriosis,5,0.00123977188197371,365_0,synpuf
1,202,434494,Closed fracture of upper end of humerus,53,0.0131415819489214,365_0,synpuf
1,202,441890,Displacement of tooth,1,2.479543763947434e-4,365_0,synpuf
1,202,440713,Posterior synechiae,3,7.438631291842301e-4,365_0,synpuf
1,202,436585,Toxic effect of ethyl alcohol,3,7.438631291842301e-4,365_0,synpuf
1,202,197508,Malignant tumor of urinary bladder,134,0.03322588643689561,365_0,synpuf
1,202,436386,Severe depressed bipolar I disorder with psychotic features,35,0.00867840317381601,365_0,synpuf
1,202,40479192,Chronic systolic heart failure,140,0.03471361269526407,365_0,synpuf
