database_id,cohort_id,concept_set_id,concept_id,source_concept_id,concept_subjects,concept_count
synpuf,1,1,1112841,45093552,12,12
synpuf,1,1,1112892,44839012,27,27
synpuf,1,1,1112892,44839626,10,10
synpuf,1,1,1112892,44843574,16,16
synpuf,1,1,1112892,44850520,17,17
synpuf,1,1,1112892,44850574,10,10
synpuf,1,1,1112892,44853168,6,6
synpuf,1,1,1112892,44856824,20,20
synpuf,1,1,1112892,44857317,16,16
synpuf,1,1,1112892,44860748,17,17
synpuf,1,1,1112892,44861428,12,12
synpuf,1,1,1112892,44867565,16,16
synpuf,1,1,1112892,44874255,15,15
synpuf,1,1,1112892,44875378,17,17
synpuf,1,1,1112892,44875562,13,13
synpuf,1,1,1112892,44877832,16,16
synpuf,1,1,1112892,44877833,11,11
synpuf,1,1,1112892,44885146,14,14
synpuf,1,1,1112892,44894935,14,14
synpuf,1,1,1112892,44894936,19,19
synpuf,1,1,1112892,44903160,21,21
synpuf,1,1,1112892,44904044,14,14
synpuf,1,1,1112892,44904686,21,21
synpuf,1,1,1112892,44912120,14,14
synpuf,1,1,1112892,44926712,16,16
synpuf,1,1,1112892,44926747,13,13
synpuf,1,1,1112892,44927888,18,18
synpuf,1,1,1112892,44929052,10,10
synpuf,1,1,1112892,44929213,23,23
synpuf,1,1,1112892,44934128,12,12
synpuf,1,1,1112892,44943286,13,13
synpuf,1,1,1112892,44943767,18,18
synpuf,1,1,1112892,44943803,16,16
synpuf,1,1,1112892,44946598,10,10
synpuf,1,1,1112892,44954469,13,13
synpuf,1,1,1112892,44959359,15,15
synpuf,1,1,1112892,44959814,20,20
synpuf,1,1,1112892,44965320,12,12
synpuf,1,1,1112892,44969975,11,11
synpuf,1,1,1112892,44976310,13,13
synpuf,1,1,1112892,44977588,14,14
synpuf,1,1,1112892,44981267,18,18
synpuf,1,1,1112892,44983210,18,18
synpuf,1,1,1112892,44988319,18,18
synpuf,1,1,1112892,44989383,17,17
synpuf,1,1,1112892,44990440,12,12
synpuf,1,1,1112892,44992169,17,17
synpuf,1,1,1112892,44992673,27,27
synpuf,1,1,1112892,44994059,16,16
synpuf,1,1,1112892,44994157,16,16
synpuf,1,1,1112892,44997341,22,22
synpuf,1,1,1112892,44999337,22,22
synpuf,1,1,1112892,45000222,16,16
synpuf,1,1,1112892,45000223,17,17
synpuf,1,1,1112892,45002367,13,13
synpuf,1,1,1112892,45018971,21,21
synpuf,1,1,1112892,45022028,13,13
synpuf,1,1,1112892,45022520,16,16
synpuf,1,1,1112892,45022557,16,16
synpuf,1,1,1112892,45026818,17,17
synpuf,1,1,1112892,45031706,10,10
synpuf,1,1,1112892,45032770,17,17
synpuf,1,1,1112892,45032771,20,20
synpuf,1,1,1112892,45033450,19,19
synpuf,1,1,1112892,45038003,11,11
synpuf,1,1,1112892,45054992,18,18
synpuf,1,1,1112892,45055004,14,14
synpuf,1,1,1112892,45056401,15,15
synpuf,1,1,1112892,45060690,23,23
synpuf,1,1,1112892,45060944,15,15
synpuf,1,1,1112892,45065695,24,24
synpuf,1,1,1112892,45065734,16,16
synpuf,1,1,1112892,45068710,14,14
synpuf,1,1,1112892,45068810,16,16
synpuf,1,1,1112892,45070281,10,10
synpuf,1,1,1112892,45078209,17,17
synpuf,1,1,1112892,45085543,16,16
synpuf,1,1,1112892,45096746,22,22
synpuf,1,1,1112892,45102663,11,11
synpuf,1,1,1112892,45104067,15,15
synpuf,1,1,1112892,45104068,20,20
synpuf,1,1,1112892,45104069,12,12
synpuf,1,1,1112892,45110560,14,14
synpuf,1,1,1112892,45113545,23,23
synpuf,1,1,1112892,45121203,14,14
synpuf,1,1,1112892,45129154,9,9
synpuf,1,1,1112892,45130512,10,10
synpuf,1,1,1112892,45130615,18,18
synpuf,1,1,1112892,45147587,18,18
synpuf,1,1,1112892,45148314,15,15
synpuf,1,1,1112892,45153657,16,16
synpuf,1,1,1112892,45153674,15,15
synpuf,1,1,1112892,45153713,10,10
synpuf,1,1,1112892,45163763,12,12
synpuf,1,1,1112892,45174258,20,20
synpuf,1,1,1112892,45177880,12,12
synpuf,1,1,1112892,45181548,13,13
synpuf,1,1,1112892,45184216,21,21
synpuf,1,1,1112892,45187797,14,14
synpuf,1,1,1112892,45188119,15,15
synpuf,1,1,1112892,45194103,15,15
synpuf,1,1,1112892,45198263,23,23
synpuf,1,1,1112892,45198592,10,10
synpuf,1,1,1112892,45198855,12,12
synpuf,1,1,1112892,45199623,7,7
synpuf,1,1,1112892,45202498,13,13
synpuf,1,1,1112892,45203736,20,20
synpuf,1,1,1112892,45204866,15,15
synpuf,1,1,1112892,45205341,12,12
synpuf,1,1,1112892,45206967,23,23
synpuf,1,1,1112892,45208252,18,18
synpuf,1,1,1112892,45209580,20,20
synpuf,1,1,1112892,45209851,16,16
synpuf,1,1,1112892,45214537,14,14
synpuf,1,1,1112892,45216027,14,14
synpuf,1,1,1112892,45218490,16,16
synpuf,1,1,1112892,45220959,19,19
synpuf,1,1,1112892,45223676,16,16
synpuf,1,1,1112892,45231834,12,12
synpuf,1,1,1112892,45235767,21,21
synpuf,1,1,1112892,45250254,23,23
synpuf,1,1,1112892,45254168,15,15
synpuf,1,1,1112892,45267314,12,12
synpuf,1,1,1112892,45269960,15,15
synpuf,1,1,1112892,45270595,12,12
synpuf,1,1,1112892,45281864,13,13
synpuf,1,1,1112892,45288375,18,18
synpuf,1,1,1112892,45290641,8,8
synpuf,1,1,1112892,45296957,20,20
synpuf,1,1,1112892,45307612,11,11
synpuf,1,1,1112892,45317204,16,16
synpuf,1,1,1112892,45324606,11,11
synpuf,1,1,1112892,45324676,14,14
synpuf,1,1,1112892,45325465,17,17
synpuf,1,1,1112892,45329400,15,15
synpuf,1,1,1112892,45332381,11,11
synpuf,1,1,1112892,45336430,19,19
synpuf,1,1,1112892,45339703,15,15
synpuf,1,1,1112892,45342824,15,15
synpuf,1,1,1112892,45347018,16,16
synpuf,1,1,1112892,45350804,19,19
synpuf,1,1,1112892,45350805,19,19
synpuf,1,1,1112892,45355178,16,16
synpuf,1,1,1112892,45356255,16,16
synpuf,1,1,1112892,45358820,11,11
synpuf,1,1,1112892,45362329,22,22
synpuf,1,1,1112892,45362330,16,16
synpuf,1,1,1112892,45364546,22,22
synpuf,1,1,1112892,45364697,13,13
synpuf,1,1,1112892,45367850,19,19
synpuf,1,1,1112892,45369510,17,17
synpuf,1,1,1112892,45370250,14,14
synpuf,1,1,1112892,45373551,18,18
synpuf,1,1,1112892,45375681,18,18
synpuf,1,1,1112892,45375682,16,16
synpuf,1,1,1112892,45377980,14,14
synpuf,1,1,1112892,45380587,17,17
synpuf,1,1,1112892,45383341,12,12
synpuf,1,1,1112893,44847969,18,18
synpuf,1,1,1112893,44874983,9,9
synpuf,1,1,1112893,44920257,19,19
synpuf,1,1,1112893,44927179,19,19
synpuf,1,1,1112893,44967114,16,16
synpuf,1,1,1112893,45103410,19,19
synpuf,1,1,1112893,45181366,8,8
synpuf,1,1,1112893,45192452,22,22
synpuf,1,1,1112893,45257271,12,12
synpuf,1,1,1112893,45282730,9,9
synpuf,1,1,1112896,44843627,13,13
synpuf,1,1,1112896,44843628,17,17
synpuf,1,1,1112896,44844237,10,10
synpuf,1,1,1112896,44863402,13,13
synpuf,1,1,1112896,44892336,14,14
synpuf,1,1,1112896,44896500,17,17
synpuf,1,1,1112896,44916950,14,14
synpuf,1,1,1112896,44929701,22,22
synpuf,1,1,1112896,44949548,8,8
synpuf,1,1,1112896,44950810,12,12
synpuf,1,1,1112896,44977180,14,14
synpuf,1,1,1112896,44980476,18,18
synpuf,1,1,1112896,45013884,20,20
synpuf,1,1,1112896,45032227,15,15
synpuf,1,1,1112896,45035592,18,18
synpuf,1,1,1112896,45042837,22,22
synpuf,1,1,1112896,45048102,15,15
synpuf,1,1,1112896,45049214,14,14
synpuf,1,1,1112896,45094529,13,13
synpuf,1,1,1112896,45094530,14,14
synpuf,1,1,1112896,45131272,22,22
synpuf,1,1,1112896,45147808,15,15
synpuf,1,1,1112896,45154695,15,15
synpuf,1,1,1112896,45196020,10,10
synpuf,1,1,1112896,45201466,10,10
synpuf,1,1,1112896,45202561,15,15
synpuf,1,1,1112896,45288173,16,16
synpuf,1,1,1112896,45305215,19,19
synpuf,1,1,1112896,45305216,15,15
synpuf,1,1,1112896,45324603,14,14
synpuf,1,1,1112896,45335499,18,18
synpuf,1,1,1112896,45360048,20,20
synpuf,1,1,1112896,45370571,17,17
synpuf,1,1,1112897,44856636,13,13
synpuf,1,1,1112897,44873615,13,13
synpuf,1,1,1112897,44949050,10,10
synpuf,1,1,1112897,44975695,14,14
synpuf,1,1,1112897,45119194,14,14
synpuf,1,1,1112897,45170350,14,14
synpuf,1,1,1112898,44892357,17,17
synpuf,1,1,1112898,44898060,16,16
synpuf,1,1,1112898,44908095,12,12
synpuf,1,1,1112898,44942668,18,18
synpuf,1,1,1112898,44975507,13,13
synpuf,1,1,1112898,45011692,12,12
synpuf,1,1,1112898,45046310,12,12
synpuf,1,1,1112898,45051104,21,21
synpuf,1,1,1112898,45096386,22,22
synpuf,1,1,1112898,45096737,15,15
synpuf,1,1,1112898,45097272,14,14
synpuf,1,1,1112898,45112184,9,9
synpuf,1,1,1112898,45147920,11,11
synpuf,1,1,1112898,45171429,20,20
synpuf,1,1,1112898,45197208,20,20
synpuf,1,1,1112898,45199176,22,22
synpuf,1,1,1112898,45215934,16,16
synpuf,1,1,1112898,45267691,8,8
synpuf,1,1,1112898,45334025,20,20
synpuf,1,1,1112898,45341115,17,17
synpuf,1,1,1112898,45369262,16,16
synpuf,1,1,1112899,44910358,12,12
synpuf,1,1,1112899,44916488,12,12
synpuf,1,1,1112899,45045269,16,16
synpuf,1,1,1112899,45086527,14,14
synpuf,1,1,1112899,45120516,15,15
synpuf,1,1,1112899,45215746,19,19
synpuf,1,1,1112899,45291451,18,18
synpuf,1,1,1112900,44875914,19,19
synpuf,1,1,1112900,44908673,21,21
synpuf,1,1,1112900,45045296,17,17
synpuf,1,1,1112900,45197826,14,14
synpuf,1,1,1112900,45232950,16,16
synpuf,1,1,1112900,45236032,13,13
synpuf,1,1,1112900,45249732,11,11
synpuf,1,1,1112900,45333167,15,15
synpuf,1,1,1112900,45336207,19,19
synpuf,1,1,1112900,45369727,11,11
synpuf,1,1,1112922,44967929,12,12
synpuf,1,1,1112922,44967930,12,12
synpuf,1,1,1112922,45053317,15,15
synpuf,1,1,1112922,45054755,21,21
synpuf,1,1,1112922,45054756,14,14
synpuf,1,1,1112922,45309250,18,18
synpuf,1,1,1112923,45028824,12,12
synpuf,1,1,1112923,45264468,17,17
synpuf,1,1,1112958,45047276,18,18
synpuf,1,1,1112958,45361847,17,17
synpuf,1,1,1112960,44966751,13,13
synpuf,1,1,1112960,44966752,16,16
synpuf,1,1,1113013,44865981,10,10
synpuf,1,1,1113016,44895665,13,13
synpuf,1,1,1113016,44963450,14,14
synpuf,1,1,1113016,45014536,15,15
synpuf,1,1,1113016,45031769,13,13
synpuf,1,1,1113016,45048764,19,19
synpuf,1,1,1113016,45099800,19,19
synpuf,1,1,1113016,45133661,24,24
synpuf,1,1,1113016,45184887,17,17
synpuf,1,1,1113016,45202084,11,11
synpuf,1,1,1113016,45249104,23,23
synpuf,1,1,1113016,45304715,21,21
synpuf,1,1,1113016,45321752,16,16
synpuf,1,1,1113016,45321753,12,12
synpuf,1,1,1113016,45338796,17,17
synpuf,1,1,1113017,45111390,18,18
synpuf,1,1,1113017,45213660,20,20
synpuf,1,1,1113018,45363295,16,16
synpuf,1,1,1113019,45248534,14,14
synpuf,1,1,1113021,44961325,10,10
synpuf,1,1,1113021,44982403,17,17
synpuf,1,1,1113021,45101730,18,18
synpuf,1,1,1113021,45199863,18,18
synpuf,1,1,1113021,45306663,14,14
synpuf,1,1,1113021,45353632,12,12
synpuf,1,1,1113055,44857088,19,19
synpuf,1,1,1113055,44997411,13,13
synpuf,1,1,1113055,45031768,9,9
synpuf,1,1,1113055,45044435,20,20
synpuf,1,1,1113055,45146380,14,14
synpuf,1,1,1113055,45214897,17,17
synpuf,1,1,1113055,45219179,20,20
synpuf,1,1,1113055,45219182,14,14
synpuf,1,1,1113055,45372708,15,15
synpuf,1,1,1113057,45238366,16,16
synpuf,1,1,1113058,44910294,11,11
synpuf,1,1,1113058,45199477,17,17
synpuf,1,1,1113059,44885955,17,17
synpuf,1,1,1113059,45124067,13,13
synpuf,1,1,1113091,44992605,17,17
synpuf,1,1,1113091,44993897,23,23
synpuf,1,1,1113091,45086526,13,13
synpuf,1,1,1113091,45214458,19,19
synpuf,1,1,1113091,45324064,11,11
synpuf,1,1,1113091,45352306,14,14
synpuf,1,1,1113112,45061096,16,16
synpuf,1,1,1113112,45095048,19,19
synpuf,1,1,1113112,45102131,15,15
synpuf,1,1,1113112,45325497,24,24
synpuf,1,1,1113237,44838178,16,16
synpuf,1,1,1113237,44855359,8,8
synpuf,1,1,1113237,45315730,17,17
synpuf,1,1,1113346,44844666,16,16
synpuf,1,1,1113346,44845923,25,25
synpuf,1,1,1113346,44862217,9,9
synpuf,1,1,1113346,44864958,14,14
synpuf,1,1,1113346,44870202,17,17
synpuf,1,1,1113346,44897601,15,15
synpuf,1,1,1113346,44912131,11,11
synpuf,1,1,1113346,44913586,24,24
synpuf,1,1,1113346,44920697,16,16
synpuf,1,1,1113346,44925144,20,20
synpuf,1,1,1113346,44925542,17,17
synpuf,1,1,1113346,44941421,17,17
synpuf,1,1,1113346,44946604,22,22
synpuf,1,1,1113346,44948335,19,19
synpuf,1,1,1113346,44958907,15,15
synpuf,1,1,1113346,44989616,14,14
synpuf,1,1,1113346,44992800,19,19
synpuf,1,1,1113346,45001635,14,14
synpuf,1,1,1113346,45012149,18,18
synpuf,1,1,1113346,45020796,20,20
synpuf,1,1,1113346,45022959,14,14
synpuf,1,1,1113346,45037933,17,17
synpuf,1,1,1113346,45039172,20,20
synpuf,1,1,1113346,45045820,16,16
synpuf,1,1,1113346,45048260,14,14
synpuf,1,1,1113346,45048688,25,25
synpuf,1,1,1113346,45068704,21,21
synpuf,1,1,1113346,45073779,16,16
synpuf,1,1,1113346,45083759,12,12
synpuf,1,1,1113346,45084634,13,13
synpuf,1,1,1113346,45084658,17,17
synpuf,1,1,1113346,45090746,13,13
synpuf,1,1,1113346,45090747,22,22
synpuf,1,1,1113346,45113543,11,11
synpuf,1,1,1113346,45113920,17,17
synpuf,1,1,1113346,45126280,16,16
synpuf,1,1,1113346,45131335,17,17
synpuf,1,1,1113346,45135611,15,15
synpuf,1,1,1113346,45141588,13,13
synpuf,1,1,1113346,45141838,12,12
synpuf,1,1,1113346,45143718,20,20
synpuf,1,1,1113346,45153539,27,27
synpuf,1,1,1113346,45158714,18,18
synpuf,1,1,1113346,45158715,19,19
synpuf,1,1,1113346,45193719,13,13
synpuf,1,1,1113346,45222190,17,17
synpuf,1,1,1113346,45228165,9,9
synpuf,1,1,1113346,45236763,19,19
synpuf,1,1,1113346,45246851,17,17
synpuf,1,1,1113346,45248068,17,17
synpuf,1,1,1113346,45277035,20,20
